player,born,league,season_start,age,MP,Min,Gls,Ast
Cristiano Ronaldo,1985,ENG-Premier League,2003,18,29,1555,4,4
Cristiano Ronaldo,1985,ENG-Premier League,2004,19,33,2423,5,4
Cristiano Ronaldo,1985,ENG-Premier League,2005,20,33,2286,9,6
Cristiano Ronaldo,1985,ENG-Premier League,2006,21,34,2781,17,8
Cristiano Ronaldo,1985,ENG-Premier League,2007,22,34,2747,31,6
Cristiano Ronaldo,1985,ENG-Premier League,2008,23,33,2742,18,6
Cristiano Ronaldo,1985,ESP-La Liga,2009,24,29,2461,26,7
Cristiano Ronaldo,1985,ESP-La Liga,2010,25,34,2914,40,9
Cristiano Ronaldo,1985,ESP-La Liga,2011,26,38,3350,46,12
Cristiano Ronaldo,1985,ESP-La Liga,2012,27,34,2716,34,10
Cristiano Ronaldo,1985,ESP-La Liga,2013,28,30,2534,31,9
Cristiano Ronaldo,1985,ESP-La Liga,2014,29,35,3100,48,16
Cristiano Ronaldo,1985,ESP-La Liga,2015,30,36,3183,35,9
Cristiano Ronaldo,1985,ESP-La Liga,2016,31,29,2539,25,6
Cristiano Ronaldo,1985,ESP-La Liga,2017,32,27,2285,26,5
Karim Benzema,1987,FRA-Ligue 1,2004,17,6,112,0,0
Karim Benzema,1987,FRA-Ligue 1,2005,18,13,520,1,2
Karim Benzema,1987,FRA-Ligue 1,2006,19,21,1156,5,2
Karim Benzema,1987,FRA-Ligue 1,2007,20,36,2565,20,7
Karim Benzema,1987,FRA-Ligue 1,2008,21,36,2758,17,2
Karim Benzema,1987,ESP-La Liga,2009,22,27,1312,8,3
Karim Benzema,1987,ESP-La Liga,2010,23,33,1898,15,4
Karim Benzema,1987,ESP-La Liga,2011,24,34,2242,21,8
Karim Benzema,1987,ESP-La Liga,2012,25,30,1770,11,12
Karim Benzema,1987,ESP-La Liga,2013,26,35,2733,17,8
Karim Benzema,1987,ESP-La Liga,2014,27,29,2278,15,11
Karim Benzema,1987,ESP-La Liga,2015,28,27,1979,24,7
Karim Benzema,1987,ESP-La Liga,2016,29,29,1903,11,5
Karim Benzema,1987,ESP-La Liga,2017,30,32,2150,5,10
Karim Benzema,1987,ESP-La Liga,2018,31,36,2953,21,6
Karim Benzema,1987,ESP-La Liga,2019,32,37,3141,21,8
Karim Benzema,1987,ESP-La Liga,2020,33,34,2894,23,9
Karim Benzema,1987,ESP-La Liga,2021,34,32,2593,27,12
Karim Benzema,1987,ESP-La Liga,2022,35,24,2038,19,3
Kylian Mbappé,1998,FRA-Ligue 1,2015,17,11,296,1,1
Kylian Mbappé,1998,FRA-Ligue 1,2016,18,29,1498,15,7
Kylian Mbappé,1998,FRA-Ligue 1,2017,19,1,74,0,0
Kylian Mbappé,1998,FRA-Ligue 1,2018,20,29,2343,33,7
Kylian Mbappé,1998,FRA-Ligue 1,2019,21,20,1513,18,5
Kylian Mbappé,1998,FRA-Ligue 1,2020,22,31,2380,27,7
Kylian Mbappé,1998,FRA-Ligue 1,2021,23,35,3023,28,17
Kylian Mbappé,1998,FRA-Ligue 1,2022,24,34,2818,29,5
Kylian Mbappé,1998,FRA-Ligue 1,2023,25,29,2158,27,7
Kylian Mbappé,1998,ESP-La Liga,2024,26,34,2907,31,3
Kylian Mbappé,1998,ESP-La Liga,2025,27,31,2599,25,5
Erling Haaland,2000,GER-Bundesliga,2019,19,15,1063,13,2
Erling Haaland,2000,GER-Bundesliga,2020,20,28,2407,27,6
Erling Haaland,2000,GER-Bundesliga,2021,21,24,1911,22,8
Erling Haaland,2000,ENG-Premier League,2022,22,35,2769,36,8
Erling Haaland,2000,ENG-Premier League,2023,23,31,2552,27,5
Erling Haaland,2000,ENG-Premier League,2024,24,31,2736,22,3
Erling Haaland,2000,ENG-Premier League,2025,25,35,2953,27,8
Wayne Rooney,1985,ENG-Premier League,2002,17,33,1599,6,4
Wayne Rooney,1985,ENG-Premier League,2003,18,34,2442,9,4
Wayne Rooney,1985,ENG-Premier League,2004,19,29,2185,11,2
Wayne Rooney,1985,ENG-Premier League,2005,20,36,3075,16,9
Wayne Rooney,1985,ENG-Premier League,2006,21,35,2923,14,11
Wayne Rooney,1985,ENG-Premier League,2007,22,27,2181,12,9
Wayne Rooney,1985,ENG-Premier League,2008,23,30,2265,12,7
Wayne Rooney,1985,ENG-Premier League,2009,24,32,2728,26,3
Wayne Rooney,1985,ENG-Premier League,2010,25,28,2225,11,11
Wayne Rooney,1985,ENG-Premier League,2011,26,34,2830,27,4
Wayne Rooney,1985,ENG-Premier League,2012,27,27,2014,12,10
Wayne Rooney,1985,ENG-Premier League,2013,28,29,2446,17,10
Wayne Rooney,1985,ENG-Premier League,2014,29,33,2873,12,5
Wayne Rooney,1985,ENG-Premier League,2015,30,28,2406,8,6
Wayne Rooney,1985,ENG-Premier League,2016,31,25,1539,5,5
Wayne Rooney,1985,ENG-Premier League,2017,32,31,2268,10,2
Sergio Agüero,1988,ESP-La Liga,2006,18,38,2484,6,2
Sergio Agüero,1988,ESP-La Liga,2007,19,37,2933,20,6
Sergio Agüero,1988,ESP-La Liga,2008,20,37,2863,17,9
Sergio Agüero,1988,ESP-La Liga,2009,21,31,2198,12,4
Sergio Agüero,1988,ESP-La Liga,2010,22,32,2662,20,3
Sergio Agüero,1988,ENG-Premier League,2011,23,34,2575,23,8
Sergio Agüero,1988,ENG-Premier League,2012,24,30,1941,12,2
Sergio Agüero,1988,ENG-Premier League,2013,25,23,1528,17,6
Sergio Agüero,1988,ENG-Premier League,2014,26,33,2531,26,8
Sergio Agüero,1988,ENG-Premier League,2015,27,30,2360,24,2
Sergio Agüero,1988,ENG-Premier League,2016,28,31,2403,20,4
Sergio Agüero,1988,ENG-Premier League,2017,29,25,1963,21,6
Sergio Agüero,1988,ENG-Premier League,2018,30,33,2459,21,8
Sergio Agüero,1988,ENG-Premier League,2019,31,24,1452,16,3
Sergio Agüero,1988,ENG-Premier League,2020,32,12,559,4,1
