league,season,MP,Min,Gls,Ast,PK
ESP-La Liga,2004-2005,7,70,1,0,0
ESP-La Liga,2005-2006,17,911,6,3,0
ESP-La Liga,2006-2007,26,1983,14,3,0
ESP-La Liga,2007-2008,27,1973,10,12,4
ESP-La Liga,2008-2009,31,2516,23,11,3
ESP-La Liga,2009-2010,35,2805,34,9,1
ESP-La Liga,2010-2011,33,2858,31,19,4
ESP-La Liga,2011-2012,37,3270,50,16,10
ESP-La Liga,2012-2013,32,2650,46,11,4
ESP-La Liga,2013-2014,31,2501,28,11,7
ESP-La Liga,2014-2015,38,3375,43,18,5
ESP-La Liga,2015-2016,33,2729,26,14,3
ESP-La Liga,2016-2017,34,2830,37,9,6
ESP-La Liga,2017-2018,36,3000,34,12,2
ESP-La Liga,2018-2019,34,2713,36,13,4
ESP-La Liga,2019-2020,33,2880,25,21,5
ESP-La Liga,2020-2021,35,3023,30,9,3
FRA-Ligue 1,2021-2022,26,2153,6,14,0
FRA-Ligue 1,2022-2023,32,2837,16,16,0
